t_sec,algo,status,center_deviation_px,angle_deg,time_ms,gt_yaw_deg,gt_x_m,gt_y_m,angle_error_deg,xb_left,xb_right,fpc_left,fpc_right
15.098319,hough,3,-9.000000,94.325058,12.509425,-177.656,3.60853,3.27102,4.32506,nan,nan,nan,nan
15.179021,hough,3,-12.000000,95.758263,12.443691,-177.647,3.60094,3.2707,5.75826,nan,nan,nan,nan
15.237263,hough,3,-11.000000,95.281242,12.110308,-177.645,3.59839,3.2706,5.28124,nan,nan,nan,nan
15.303786,hough,3,-11.000000,95.281242,12.091126,-177.642,3.59324,3.27039,5.28124,nan,nan,nan,nan
15.370751,hough,3,-10.000000,94.803482,12.503039,-177.639,3.58803,3.27017,4.80348,nan,nan,nan,nan
15.445002,hough,3,-11.000000,95.281242,13.053262,-177.638,3.58274,3.26996,5.28124,nan,nan,nan,nan
15.499203,hough,3,-11.000000,95.281242,7.057803,-177.637,3.57735,3.26973,5.28124,nan,nan,nan,nan
15.573633,hough,3,-10.000000,94.803482,12.746165,-177.637,3.57189,3.26951,4.80348,nan,nan,nan,nan
15.645771,hough,3,-10.000000,94.803482,13.266178,-177.638,3.56635,3.26928,4.80348,nan,nan,nan,nan
15.705715,hough,3,-11.000000,95.281242,8.918792,-177.64,3.56077,3.26905,5.28124,nan,nan,nan,nan
15.775952,hough,3,-12.000000,95.758263,11.694098,-177.642,3.55514,3.26882,5.75826,nan,nan,nan,nan
15.837986,hough,3,-12.000000,95.758263,12.236047,-177.649,3.54947,3.26858,5.75826,nan,nan,nan,nan
15.894664,hough,3,-11.000000,95.281242,7.972594,-177.659,3.54378,3.26835,5.28124,nan,nan,nan,nan
15.973420,hough,3,-12.000000,95.758263,12.367633,-177.67,3.53806,3.26812,5.75826,nan,nan,nan,nan
16.045958,hough,3,-12.000000,95.758263,12.268218,-177.686,3.53232,3.26788,5.75826,nan,nan,nan,nan
16.112825,hough,3,-11.000000,95.281242,12.240536,-177.704,3.52656,3.26765,5.28124,nan,nan,nan,nan
16.178204,hough,3,-11.000000,95.281242,12.140769,-177.723,3.52079,3.26742,5.28124,nan,nan,nan,nan
16.243170,hough,3,-11.000000,95.281242,12.184449,-177.746,3.515,3.26719,5.28124,nan,nan,nan,nan
16.309185,hough,3,-10.000000,94.803482,12.327042,-177.77,3.50921,3.26696,4.80348,nan,nan,nan,nan
16.378133,hough,3,-12.000000,95.758263,12.640771,-177.796,3.5034,3.26674,5.75826,nan,nan,nan,nan
16.444853,hough,3,-12.000000,95.758263,12.154568,-177.824,3.49759,3.26652,5.75826,nan,nan,nan,nan
16.511098,hough,3,-11.000000,95.281242,12.447598,-177.853,3.49177,3.2663,5.28124,nan,nan,nan,nan
16.579969,hough,3,-11.000000,95.281242,12.157331,-177.883,3.48595,3.26608,5.28124,nan,nan,nan,nan
16.643816,hough,3,-12.000000,95.758263,12.101822,-177.915,3.48012,3.26586,5.75826,nan,nan,nan,nan
16.712931,hough,3,-11.000000,95.281242,12.244782,-177.947,3.47429,3.26565,5.28124,nan,nan,nan,nan
16.781560,hough,3,-10.000000,94.803482,12.328197,-177.98,3.46846,3.26544,4.80348,nan,nan,nan,nan
16.843864,hough,3,-11.000000,95.281242,12.652467,-178.013,3.46262,3.26524,5.28124,nan,nan,nan,nan
16.913690,hough,3,-11.000000,95.281242,12.221222,-178.046,3.45678,3.26504,5.28124,nan,nan,nan,nan
16.982183,hough,3,-13.000000,96.234482,11.987085,-178.079,3.45094,3.26484,6.23448,nan,nan,nan,nan
